Gene ID: PVP01_1031000
Chromosome: 10
Product Description: merozoite surface protein 3

Table: Names, Previous Identifiers, and Aliases
[Name/ID/Alias]	[Type]	
A0A1G4GZ26	alternate ID	
A0A1G4HET6	alternate ID	
A0A564ZWF2	alternate ID	
C5HZ11	alternate ID	
Q4KTV4	alternate ID	
Q4KTV6	alternate ID	
Q4KTV8	alternate ID	
Q4KTV9	alternate ID	
Q4KTW0	alternate ID	
Q4KTW2	alternate ID	
Q4KTW3	alternate ID	
Q86DH1	alternate ID	
Q86DH5	alternate ID	
UPI00090A845F	alternate ID	
VUZ96619.1	alternate ID	
MSP3H	synonym	
MSP3alpha	synonym	
Table: Orthologs and Paralogs within VEuPathDB
[Gene ID]	[Ortholog]	[Organism]	[Product]	[is syntenic]	
PVP01_1031000	PCOAH_00031430	Plasmodium coatneyi Hackeri	Uncharacterized protein	yes	
PVP01_1031000	PCYB_103860	Plasmodium cynomolgi strain B	merozoite surface protein 3	yes	
PVP01_1031000	PVL_000214700	Plasmodium vivax-like Pvl01	merozoite surface protein 3	yes	
PVP01_1031000	PVX_097720	Plasmodium vivax Sal-1	merozoite surface protein 3	yes	
PVP01_1031000	PcyM_1031200	Plasmodium cynomolgi strain M	merozoite surface protein 3, putative	yes	
PVP01_1031000	PmUG01_06022000	Plasmodium malariae UG01	merozoite surface protein 3, putative	yes	
PVP01_1031000	PocGH01_10038500	Plasmodium ovale curtisi GH01	merozoite surface protein 3, putative	yes	
PVP01_1031000	AK88_00119	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_00301	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_00838	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_01328	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_01961	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02013	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02025	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02378	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02419	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02449	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02676	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVP01_1031000	AK88_02867	Plasmodium fragile strain nilgiri	hypothetical protein	no	
