Gene ID: PVX_117575
Chromosome: 12
Product Description: hypothetical protein, conserved

Table: Names, Previous Identifiers, and Aliases
[Name/ID/Alias]	[Type]	
A0A1G4H269	alternate ID	
A0A1G4HHD7	alternate ID	
A5K3H8	alternate ID	
EDL46082.1	alternate ID	
UPI000153DF3D	alternate ID	
XP_001615809.1	alternate ID	
Pv117575	previous ID	
Table: Orthologs and Paralogs within VEuPathDB
[Gene ID]	[Ortholog]	[Organism]	[Product]	[is syntenic]	
PVX_117575	PKA1H_120028800	Plasmodium knowlesi strain A1H1	conserved Plasmodium protein, unknown function	yes	
PVX_117575	PKNH_1224000	Plasmodium knowlesi strain H	conserved Plasmodium protein, unknown function	yes	
PVX_117575	PKNOH_S110094900	Plasmodium knowlesi strain Malayan Strain Pk1 A	Uncharacterized protein	yes	
PVX_117575	PRELSG_1223100	Plasmodium relictum SGS1-like	conserved Plasmodium protein, unknown function	yes	
PVX_117575	PVL_120033800	Plasmodium vivax-like Pvl01	conserved Plasmodium protein, unknown function	yes	
PVX_117575	PVP01_1249100	Plasmodium vivax P01	conserved Plasmodium protein, unknown function	yes	
PVX_117575	AK88_00405	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_01298	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_01348	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_01445	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_01485	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_01487	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_02000	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_02018	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_02717	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_03773	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_04022	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_04115	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	AK88_04883	Plasmodium fragile strain nilgiri	hypothetical protein	no	
PVX_117575	C922_00358	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_00915	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_01351	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_02830	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_02990	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_03081	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_03112	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_03353	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_03419	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_03560	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_04134	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_04781	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_05241	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_05344	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	C922_05801	Plasmodium inui San Antonio 1	hypothetical protein	no	
PVX_117575	HEP_00015200	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	transcription elongation factor SPT6, putative	no	
PVX_117575	HEP_00213600	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	conserved protein, unknown function	no	
PVX_117575	HEP_00225400	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	dynein-related AAA-type ATPase, putative	no	
PVX_117575	HEP_00289400	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	hypothetical protein	no	
PVX_117575	HEP_00294200	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	Pentapeptide repeats (8 copies), putative	no	
PVX_117575	HEP_00310500	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	hypothetical protein	no	
PVX_117575	HEP_00338500	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	conserved protein, unknown function	no	
PVX_117575	HEP_00466700	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	dynein-related AAA-type ATPase, putative	no	
PVX_117575	HEP_00467000	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	dynein-related AAA-type ATPase, putative	no	
PVX_117575	HEP_00530000	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	dynein-related AAA-type ATPase, putative	no	
PVX_117575	HEP_00536200	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	dynein-related AAA-type ATPase, putative	no	
PVX_117575	PADL01_0035500	Plasmodium adleri G01	chromatin remodeling protein, putative	no	
PVX_117575	PADL01_0403900	Plasmodium adleri G01	conserved Plasmodium protein, unknown function	no	
PVX_117575	PADL01_1012200	Plasmodium adleri G01	conserved Plasmodium protein, unknown function	no	
PVX_117575	PADL01_1434500	Plasmodium adleri G01	dynein-related AAA-type ATPase, putative	no	
PVX_117575	PBANKA_0311700	Plasmodium berghei ANKA	rhoptry neck protein 6, putative	no	
PVX_117575	PBANKA_0519100	Plasmodium berghei ANKA	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBANKA_0519400	Plasmodium berghei ANKA	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBANKA_0804500	Plasmodium berghei ANKA	rhoptry-associated membrane antigen, putative	no	
PVX_117575	PBANKA_1002000	Plasmodium berghei ANKA	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBANKA_1010300	Plasmodium berghei ANKA	dynein-related AAA-type ATPase, putative	no	
PVX_117575	PBANKA_1345800	Plasmodium berghei ANKA	RNA-binding protein, putative	no	
PVX_117575	PBANKA_1350500	Plasmodium berghei ANKA	parasitophorous vacuolar protein 3	no	
PVX_117575	PBILCG01_0403200	Plasmodium billcollinsi G01	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBILCG01_1435100	Plasmodium billcollinsi G01	dynein-related AAA-type ATPase, putative	no	
PVX_117575	PBLACG01_0401800	Plasmodium blacklocki G01	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBLACG01_1134800	Plasmodium blacklocki G01	conserved Plasmodium protein, unknown function	no	
PVX_117575	PBLACG01_1433900	Plasmodium blacklocki G01	dynein-related AAA-type ATPase, putative	no	
PVX_117575	PCHAS_0419500	Plasmodium chabaudi chabaudi	PIR protein	no	
